timestamp,user_id,action,resource_id,region,status,error_code,source_ip
2026-02-24T10:15:18,user_010,describe_instances,i-d03dd7941f874e879,ap-southeast-1,Success,,10.3.81.179
2026-02-24T10:16:50,user_010,put_bucket_policy,/subscriptions/sub-abc/resourceGroups/rg-3d90d0/providers/Microsoft.Compute/virtualMachines/vm-3d90d09b,ap-southeast-1,Success,,10.229.142.208
2026-02-24T10:17:41,user_003,launch_instance,projects/cloudguard-demo/zones/us-central1-a/instances/instance-bb7f70b0,sa-east-1,Success,,185.219.36.156
2026-02-24T10:17:59,user_003,launch_instance,/subscriptions/sub-abc/resourceGroups/rg-9c6bf5/providers/Microsoft.Compute/virtualMachines/vm-9c6bf5d8,af-south-1,Failed,AccessDenied,185.219.36.156
2026-02-24T10:18:31,user_011,describe_instances,projects/cloudguard-demo/zones/us-central1-a/instances/instance-0c8209b4,ap-southeast-1,Success,,10.140.125.58
2026-02-24T10:19:20,user_007,describe_instances,projects/cloudguard-demo/zones/us-central1-a/instances/instance-297247fa,sa-east-1,Success,,10.15.47.56
2026-02-24T10:19:28,user_003,launch_instance,/subscriptions/sub-abc/resourceGroups/rg-de67bf/providers/Microsoft.Compute/virtualMachines/vm-de67bf96,ap-east-1,Success,,185.219.36.156
2026-02-24T10:19:34,user_003,launch_instance,projects/cloudguard-demo/zones/us-central1-a/instances/instance-631739b1,us-west-2,Success,,185.219.36.156
2026-02-24T10:20:11,user_011,describe_instances,i-5f545a92afe640398,ap-southeast-1,Success,,10.216.174.72
2026-02-24T10:20:14,user_004,start_instance,/subscriptions/sub-abc/resourceGroups/rg-378f71/providers/Microsoft.Compute/virtualMachines/vm-378f71df,sa-east-1,Success,,10.119.13.144
2026-02-24T10:20:42,user_003,launch_instance,/subscriptions/sub-abc/resourceGroups/rg-ef1881/providers/Microsoft.Compute/virtualMachines/vm-ef1881ee,sa-east-1,Failed,UnauthorizedOperation,185.219.36.156
2026-02-24T10:20:48,user_009,describe_security_groups,projects/cloudguard-demo/zones/us-central1-a/instances/instance-b958a5ba,eu-west-1,Success,,10.44.216.9
2026-02-24T10:20:59,user_003,create_security_group,i-fc67dbc4cded4d60a,us-east-1,Success,,185.219.36.156
2026-02-24T10:21:00,user_003,launch_instance,/subscriptions/sub-abc/resourceGroups/rg-9c6bf5/providers/Microsoft.Compute/virtualMachines/vm-9c6bf5d8,sa-east-1,Success,,185.219.36.156
2026-02-24T10:21:38,user_003,launch_instance,i-557657492f4c4e868,ap-southeast-1,Success,,185.219.36.156
2026-02-24T10:21:49,user_002,describe_instances,i-697cca25544943b0a,eu-west-1,Success,,10.71.52.174
2026-02-24T10:22:05,user_007,stop_instance,i-bea5dace26704cf1a,ap-southeast-1,Success,,10.216.174.72
2026-02-24T10:22:30,user_005,describe_instances,i-fcc08efbe1624085a,eu-west-1,Success,,10.176.135.207
2026-02-24T10:22:42,user_002,describe_instances,/subscriptions/sub-abc/resourceGroups/rg-6e8b54/providers/Microsoft.Compute/virtualMachines/vm-6e8b5441,sa-east-1,Success,,10.194.49.92
2026-02-24T10:22:46,user_006,describe_security_groups,i-bea5dace26704cf1a,us-east-1,Success,,10.119.13.144
2026-02-24T10:24:10,user_010,describe_instances,i-fcc08efbe1624085a,us-west-2,Success,,10.140.125.58
2026-02-24T10:24:23,user_001,describe_instances,projects/cloudguard-demo/zones/us-central1-a/instances/instance-bb7f70b0,eu-west-1,Success,,10.216.174.72
2026-02-24T10:25:20,user_003,launch_instance,i-d03dd7941f874e879,eu-west-1,Success,,185.219.36.156
2026-02-24T10:26:33,user_003,create_access_key,i-019200d7afa04c45a,sa-east-1,Success,,185.219.36.156
2026-02-24T10:26:47,user_009,describe_security_groups,projects/cloudguard-demo/zones/us-central1-a/instances/instance-bb7f70b0,ap-southeast-1,Success,,10.57.12.190
2026-02-24T10:27:14,user_003,launch_instance,/subscriptions/sub-abc/resourceGroups/rg-343da8/providers/Microsoft.Compute/virtualMachines/vm-343da8e6,sa-east-1,Failed,UnauthorizedOperation,185.219.36.156
2026-02-24T10:28:12,user_005,stop_instance,i-3d6d2545b5214158b,us-west-2,Success,,10.71.52.174
2026-02-24T10:28:39,user_003,launch_instance,i-e330f507871143628,eu-west-1,Success,,185.219.36.156
2026-02-24T10:28:49,user_010,describe_instances,/subscriptions/sub-abc/resourceGroups/rg-bd9b1c/providers/Microsoft.Compute/virtualMachines/vm-bd9b1c30,sa-east-1,Success,,10.172.52.24
2026-02-24T10:28:54,user_007,assume_role,projects/cloudguard-demo/zones/us-central1-a/instances/instance-e974b951,eu-west-1,Success,,10.44.216.9
2026-02-24T10:29:04,user_007,describe_instances,projects/cloudguard-demo/zones/us-central1-a/instances/instance-8686b364,us-east-1,Success,,10.176.135.207
2026-02-24T10:29:13,user_010,describe_instances,/subscriptions/sub-abc/resourceGroups/rg-afa406/providers/Microsoft.Compute/virtualMachines/vm-afa406ef,ap-southeast-1,Success,,10.119.13.144
2026-02-24T10:30:06,user_007,describe_instances,i-5de2effb55004069a,sa-east-1,Success,,10.44.216.9
2026-02-24T10:30:15,user_002,stop_instance,i-ce8d133007e946bc9,ap-southeast-1,Success,,10.3.81.179
2026-02-24T10:30:42,user_001,describe_instances,/subscriptions/sub-abc/resourceGroups/rg-43ce05/providers/Microsoft.Compute/virtualMachines/vm-43ce05d6,us-west-2,Success,,10.172.52.24
2026-02-24T10:31:03,user_003,assume_role,i-fc26e047ea114e4b9,sa-east-1,Success,,185.219.36.156
2026-02-24T10:31:04,user_007,describe_instances,/subscriptions/sub-abc/resourceGroups/rg-43ce05/providers/Microsoft.Compute/virtualMachines/vm-43ce05d6,sa-east-1,Success,,10.15.47.56
2026-02-24T10:31:20,user_008,describe_instances,projects/cloudguard-demo/zones/us-central1-a/instances/instance-297247fa,eu-west-1,Success,,10.119.13.144
2026-02-24T10:31:45,user_006,describe_instances,/subscriptions/sub-abc/resourceGroups/rg-cc35ae/providers/Microsoft.Compute/virtualMachines/vm-cc35ae8b,sa-east-1,Success,,10.172.52.24
