timestamp,resource_id,cpu_usage,gpu_usage,memory_usage,disk_io,network_in,network_out,cpu_steal,disk_read_iops,disk_write_iops
2026-02-24T10:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,20.91,0.0,14.37,7.7,1.617,1.256,0.0,1.6,3.8
2026-02-24T11:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,12.6,0.0,8.21,10.9,1.066,0.7,0.0,7.8,4.6
2026-02-24T12:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,6.95,0.0,2.0,3.0,0.679,0.741,0.0,1.6,2.3
2026-02-24T13:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,2.19,0.0,2.0,0,0.421,0.372,0.0,0.8,0.5
2026-02-24T14:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,6.72,0.0,2.0,0,0.822,0.05,0.0,0,0
2026-02-24T15:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,9.22,0.0,9.29,0,0.128,0.715,0.0,0,0
2026-02-24T16:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,9.27,0.0,9.95,7.0,1.061,0.568,0.0,5.1,1.5
2026-02-24T17:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,8.85,0.0,4.49,15.2,0.957,0.367,0.0,7.5,3.9
2026-02-24T18:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,15.2,0.0,16.63,13.2,1.469,1.011,0.0,7.7,2.4
2026-02-24T19:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,16.41,0.0,15.63,7.8,0.591,0.831,0.0,4.1,4.6
2026-02-24T20:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,22.69,0.0,25.62,6.3,2.125,0.952,0.0,2.1,4.4
2026-02-24T21:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,24.34,0.0,17.24,8.3,2.322,1.0,0.0,1.3,1.1
2026-02-24T22:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,27.32,0.0,21.33,12.2,2.782,1.36,0.0,7.7,7.1
2026-02-24T23:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,34.44,0.0,25.89,15.7,2.249,1.993,0.0,11.9,6.2
2026-02-25T00:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,41.32,0.0,28.32,13.9,4.102,2.101,0.0,6.1,5.3
2026-02-25T01:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,43.02,0.0,34.24,20.8,3.786,1.438,0.0,13.6,7.2
2026-02-25T02:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,37.94,0.0,27.31,13.0,3.898,1.581,0.0,10.5,4.3
2026-02-25T03:14,projects/cloudguard-demo/zones/us-central1-a/instances/instance-fc0b4f35,36.26,0.0,26.49,8.5,2.28,1.879,0.0,6.8,3.4
